timestamp,position_lat@deg,position_long@deg,distance@km,enhanced_altitude@m,heart_rate@bpm,cadence@rpm,temperature@C,fractional_cadence@rpm,enhanced_speed@km/h
2022-03-02T09:19:27+00:00,-37.83111261203885,144.93327216245234,1.06874,9.399999999999977,96,51,30,0.0,5.1048
2022-03-02T09:19:30+00:00,-37.83111319877207,144.93331993930042,1.07278,9.399999999999977,95,51,30,0.0,4.9716000000000005
2022-03-02T09:19:32+00:00,-37.831099787727,144.93335304781795,1.0760399999999999,9.399999999999977,95,51,30,0.0,4.8384
2022-03-02T09:19:36+00:00,-37.83107631839812,144.93341934867203,1.0823800000000001,9.399999999999977,95,51,30,0.0,4.8384
2022-03-02T09:19:38+00:00,-37.83107506111264,144.93344801478088,1.08482,9.399999999999977,95,51,30,0.0,4.8384
2022-03-02T09:19:39+00:00,-37.831075647845864,144.93345983326435,1.0855,9.399999999999977,95,50,30,0.5,4.8384
2022-03-02T09:19:42+00:00,-37.831080593168736,144.93348766118288,1.08757,9.199999999999989,94,51,30,0.5,4.6008000000000004
2022-03-02T09:19:45+00:00,-37.83106944523752,144.93352345190942,1.0910199999999999,9.199999999999989,94,51,30,0.0,4.467600000000001
2022-03-02T09:19:48+00:00,-37.831069780513644,144.93357181549072,1.0951099999999998,9.399999999999977,94,51,30,0.0,4.4352
2022-03-02T09:19:50+00:00,-37.83106558956206,144.933598972857,1.09747,9.399999999999977,93,51,30,0.0,4.467600000000001
2022-03-02T09:19:52+00:00,-37.831045892089605,144.93363132700324,1.101,9.399999999999977,89,51,30,0.0,4.467600000000001
2022-03-02T09:19:53+00:00,-37.83103206194937,144.93364951573312,1.10304,9.399999999999977,92,49,30,0.5,4.467600000000001
2022-03-02T09:19:56+00:00,-37.83098881132901,144.93369268253446,1.10895,9.399999999999977,92,51,30,0.0,4.5
2022-03-02T09:19:57+00:00,-37.83097573556006,144.93370978161693,1.1109200000000001,9.399999999999977,92,51,30,0.0,4.5684
2022-03-02T09:19:59+00:00,-37.83096207305789,144.9337382800877,1.1134300000000001,9.399999999999977,91,51,30,0.0,4.7016
2022-03-02T09:20:01+00:00,-37.83094690181315,144.933762839064,1.1158599999999999,9.399999999999977,91,51,30,0.0,4.7376000000000005
2022-03-02T09:20:07+00:00,-37.830914463847876,144.93385210633278,1.12455,9.399999999999977,90,51,30,0.0,4.7016
2022-03-02T09:20:08+00:00,-37.8309044893831,144.9338624998927,1.1258599999999999,9.399999999999977,90,51,30,0.0,4.7016
2022-03-02T09:20:14+00:00,-37.83084732480347,144.93394715711474,1.13558,9.399999999999977,89,50,30,0.0,4.7376000000000005
2022-03-02T09:20:16+00:00,-37.830836679786444,144.93398319929838,1.13896,9.399999999999977,88,50,30,0.0,4.77
2022-03-02T09:20:22+00:00,-37.83082125708461,144.9340844526887,1.1480299999999999,9.399999999999977,86,49,30,0.5,4.9392000000000005
2022-03-02T09:20:23+00:00,-37.830823604017496,144.93410130031407,1.14944,9.199999999999989,86,51,30,0.0,4.9716000000000005
2022-03-02T09:20:27+00:00,-37.83081731759012,144.93416936136782,1.15544,9.199999999999989,85,52,30,0.0,5.04
2022-03-02T09:20:30+00:00,-37.83081438392401,144.9342184793204,1.15976,9.199999999999989,85,52,30,0.0,5.04
2022-03-02T09:20:35+00:00,-37.8307889867574,144.93426935747266,1.16503,9.199999999999989,87,52,30,0.0,4.9716000000000005
2022-03-02T09:20:41+00:00,-37.830745400860906,144.93433574214578,1.17259,9.399999999999977,87,52,30,0.0,4.9392000000000005
2022-03-02T09:20:47+00:00,-37.830740036442876,144.93441386148334,1.17948,9.199999999999989,86,52,30,0.0,4.8024000000000004
2022-03-02T09:20:48+00:00,-37.83073601312935,144.93443691171706,1.18156,9.199999999999989,86,50,30,0.5,4.8024000000000004
2022-03-02T09:20:49+00:00,-37.830737521871924,144.93446390144527,1.18389,9.199999999999989,86,50,30,0.5,4.77
2022-03-02T09:20:50+00:00,-37.83073274418712,144.93448083288968,1.1854500000000001,9.199999999999989,86,50,30,0.5,4.8024000000000004
2022-03-02T09:20:54+00:00,-37.83073433674872,144.9345446191728,1.19028,9.0,85,50,30,0.0,4.8384
2022-03-02T09:20:57+00:00,-37.830712208524346,144.93459608405828,1.19557,9.0,85,51,30,0.5,4.8384
2022-03-02T09:20:59+00:00,-37.830701814964414,144.93462709710002,1.19857,9.0,85,51,30,0.5,4.8708
2022-03-02T09:21:00+00:00,-37.8307044133544,144.93463925085962,1.19968,9.0,84,51,30,0.5,4.8708
2022-03-02T09:21:03+00:00,-37.83070248551667,144.93468535132706,1.2036300000000002,9.199999999999989,83,51,30,0.5,4.8384
2022-03-02T09:21:04+00:00,-37.83070030622184,144.9347002711147,1.20495,9.199999999999989,82,51,30,0.5,4.8384
2022-03-02T09:21:07+00:00,-37.83071908168495,144.9347441084683,1.20872,9.199999999999989,79,51,30,0.5,4.8708
2022-03-02T09:21:10+00:00,-37.830718997865915,144.93479255586863,1.21217,9.199999999999989,79,51,30,0.5,4.8024000000000004
2022-03-02T09:21:16+00:00,-37.83072394318879,144.9348923843354,1.22019,9.0,80,51,30,0.0,4.8024000000000004
2022-03-02T09:21:18+00:00,-37.83071522600949,144.93492716923356,1.22328,9.0,81,52,30,0.0,4.8024000000000004
2022-03-02T09:21:23+00:00,-37.83072888851166,144.93500713258982,1.2289100000000002,9.0,82,51,30,0.0,4.8024000000000004
2022-03-02T09:21:28+00:00,-37.83072360791266,144.93508474901319,1.23576,9.0,83,52,30,0.5,4.8708
2022-03-02T09:21:29+00:00,-37.83073081634939,144.9351009260863,1.23717,9.0,82,52,30,0.5,4.8708
2022-03-02T09:21:30+00:00,-37.83072721213102,144.93511903099716,1.23878,9.0,82,52,30,0.5,4.8708
2022-03-02T09:21:33+00:00,-37.830695025622845,144.93517929688096,1.24505,9.0,81,52,30,0.5,4.903200000000001
2022-03-02T09:21:39+00:00,-37.83066661097109,144.9352478608489,1.25185,8.800000000000011,83,52,30,0.5,4.9392000000000005
2022-03-02T09:21:40+00:00,-37.830662252381444,144.93526378646493,1.25331,8.800000000000011,84,52,30,0.5,4.903200000000001
2022-03-02T09:21:46+00:00,-37.83064674586058,144.93535581976175,1.26111,8.800000000000011,86,52,30,0.5,4.8384
2022-03-02T09:21:47+00:00,-37.83062973059714,144.93537325412035,1.26353,8.800000000000011,89,51,30,0.5,4.8024000000000004
2022-03-02T09:21:50+00:00,-37.83059955574572,144.9354204442352,1.26894,8.800000000000011,86,52,30,0.5,4.8024000000000004
2022-03-02T09:21:56+00:00,-37.8306024055928,144.93550308980048,1.27601,8.800000000000011,86,52,30,0.5,4.77
